citizen_id,cnic,full_name,email,phone,ward_no,address,password_hash,registered_at
31,352013641282,Yaman Taheem,yaman.taheem59@gmail.com,03212149597,Ward-10,"House #207, Hayatabad, Peshawar",9b8769a4a742959a2d0298c36fb70623f2dfacda8436237df08d8dfd5b37374c,2025-10-17 13:25:27
32,352015130808,Damurah Tali,damurah.tali593@gmail.com,03492375453,Ward-7,"House #268, Bara Road, Nowshera",9b8769a4a742959a2d0298c36fb70623f2dfacda8436237df08d8dfd5b37374c,2026-01-01 20:46:50
33,352015374922,Jabr Sabiq,jabr.sabiq210@hotmail.com,03255456272,Ward-7,"House #235, Saddar, Peshawar",9b8769a4a742959a2d0298c36fb70623f2dfacda8436237df08d8dfd5b37374c,2026-01-01 18:59:06
34,352012217071,Saad Daamin,saad.daamin10@outlook.com,03492677407,Ward-2,"House #260, Dalazak Road, Peshawar",9b8769a4a742959a2d0298c36fb70623f2dfacda8436237df08d8dfd5b37374c,2025-12-12 23:50:49
35,352013222252,Ghazzal Kamal,ghazzal.kamal956@hotmail.com,03145098412,Ward-6,"House #225, Warsak Road, Peshawar",9b8769a4a742959a2d0298c36fb70623f2dfacda8436237df08d8dfd5b37374c,2026-03-30 23:09:30
36,352016075395,Baashir Omair,baashir.omair627@gmail.com,03456022741,Ward-15,"House #136, Hayatabad, Peshawar",9b8769a4a742959a2d0298c36fb70623f2dfacda8436237df08d8dfd5b37374c,2025-10-15 19:52:23
37,352012795765,Tirdad Maalik,tirdad.maalik761@yahoo.com,03275727085,Ward-10,"House #105, University Town, Peshawar",9b8769a4a742959a2d0298c36fb70623f2dfacda8436237df08d8dfd5b37374c,2025-12-12 12:30:29
38,352019479356,Eesaa Raakin,eesaa.raakin501@hotmail.com,03132548511,Ward-11,"House #23, Charsadda Road, Peshawar",9b8769a4a742959a2d0298c36fb70623f2dfacda8436237df08d8dfd5b37374c,2025-09-02 09:02:53
39,352016596150,Aamir Raid,aamir.raid790@yahoo.com,03263710895,Ward-12,"House #362, Ring Road, Nowshera",9b8769a4a742959a2d0298c36fb70623f2dfacda8436237df08d8dfd5b37374c,2026-02-14 02:19:51
40,352011162230,Ubaydullah Luay,ubaydullah.luay115@gmail.com,03191604451,Ward-14,"House #283, Kohat Road, Nowshera",9b8769a4a742959a2d0298c36fb70623f2dfacda8436237df08d8dfd5b37374c,2025-10-28 12:20:02
41,352018210624,Tahoor Baashir,tahoor.baashir131@gmail.com,03297117837,Ward-15,"House #108, Peshawar, Peshawar",9b8769a4a742959a2d0298c36fb70623f2dfacda8436237df08d8dfd5b37374c,2025-12-06 21:47:08
42,352012724590,Ibn Jabir,ibn.jabir363@outlook.com,03493592974,Ward-15,"House #500, University Town, Peshawar",9b8769a4a742959a2d0298c36fb70623f2dfacda8436237df08d8dfd5b37374c,2025-11-08 18:14:51
43,352017917152,Yawer Nail,yawer.nail26@yahoo.com,03317907400,Ward-13,"House #82, University Town, Peshawar",9b8769a4a742959a2d0298c36fb70623f2dfacda8436237df08d8dfd5b37374c,2025-10-12 23:31:27
44,352017417985,Rabiah Aasif,rabiah.aasif894@gmail.com,03404731818,Ward-4,"House #157, Ring Road, Peshawar",9b8769a4a742959a2d0298c36fb70623f2dfacda8436237df08d8dfd5b37374c,2025-11-28 09:20:37
45,352014740036,Tajudinn Aariz,tajudinn.aariz25@yahoo.com,03356507321,Ward-5,"House #180, Hayatabad, Peshawar",9b8769a4a742959a2d0298c36fb70623f2dfacda8436237df08d8dfd5b37374c,2026-03-17 20:00:18
46,352017705490,Tajammal Rabar,tajammal.rabar696@hotmail.com,03112935113,Ward-15,"House #298, Warsak Road, Peshawar",9b8769a4a742959a2d0298c36fb70623f2dfacda8436237df08d8dfd5b37374c,2025-12-13 02:19:33
47,352011641849,Bahiy Udeen Sabiq,bahiy udeen.sabiq112@outlook.com,03326262632,Ward-7,"House #60, Bara Road, Mardan",9b8769a4a742959a2d0298c36fb70623f2dfacda8436237df08d8dfd5b37374c,2026-01-28 14:16:53
48,352014188992,Najair Faizan,najair.faizan261@gmail.com,03371028374,Ward-9,"House #187, Dalazak Road, Peshawar",9b8769a4a742959a2d0298c36fb70623f2dfacda8436237df08d8dfd5b37374c,2026-02-15 11:58:59
49,352012173965,Gulshan Eshan,gulshan.eshan972@hotmail.com,03496266630,Ward-11,"House #260, Hayatabad, Peshawar",9b8769a4a742959a2d0298c36fb70623f2dfacda8436237df08d8dfd5b37374c,2025-12-30 02:44:31
50,352017851696,Ghauth Ghafoor,ghauth.ghafoor335@outlook.com,03283135534,Ward-4,"House #347, Charsadda Road, Peshawar",9b8769a4a742959a2d0298c36fb70623f2dfacda8436237df08d8dfd5b37374c,2025-11-07 14:03:08
51,352016049101,Daawood Saafir,daawood.saafir416@gmail.com,03295813613,Ward-4,"House #311, Charsadda Road, Nowshera",9b8769a4a742959a2d0298c36fb70623f2dfacda8436237df08d8dfd5b37374c,2026-01-04 03:34:49
52,352018801207,Umar Kaleema,umar.kaleema453@outlook.com,03239576076,Ward-8,"House #146, Saddar, Peshawar",9b8769a4a742959a2d0298c36fb70623f2dfacda8436237df08d8dfd5b37374c,2026-03-20 04:21:39
53,352016623525,Waail Zackariya,waail.zackariya96@yahoo.com,03294768844,Ward-13,"House #13, University Town, Peshawar",9b8769a4a742959a2d0298c36fb70623f2dfacda8436237df08d8dfd5b37374c,2025-09-18 22:44:35
54,352015107776,Awadil Jabir,awadil.jabir487@gmail.com,03397953166,Ward-15,"House #368, Bara Road, Peshawar",9b8769a4a742959a2d0298c36fb70623f2dfacda8436237df08d8dfd5b37374c,2026-01-28 02:56:19
55,352019294272,Rabbani Aryan,rabbani.aryan410@yahoo.com,03191093026,Ward-15,"House #113, Hayatabad, Peshawar",9b8769a4a742959a2d0298c36fb70623f2dfacda8436237df08d8dfd5b37374c,2025-11-08 07:22:57
56,352019689889,Raheel Zahrun,raheel.zahrun476@gmail.com,03455180853,Ward-15,"House #69, Hayatabad, Peshawar",9b8769a4a742959a2d0298c36fb70623f2dfacda8436237df08d8dfd5b37374c,2026-02-28 10:47:19
57,352019910914,Ubadah Man,ubadah.man573@hotmail.com,03389468772,Ward-7,"House #460, Dalazak Road, Peshawar",9b8769a4a742959a2d0298c36fb70623f2dfacda8436237df08d8dfd5b37374c,2025-11-01 19:27:33
58,352018963715,Taial Majd Udeen,taial.majd udeen461@hotmail.com,03255652512,Ward-13,"House #321, Dalazak Road, Mardan",9b8769a4a742959a2d0298c36fb70623f2dfacda8436237df08d8dfd5b37374c,2025-12-02 21:55:59
59,352015606980,Ali Maawiya,ali.maawiya451@gmail.com,03284934149,Ward-5,"House #458, Kohat Road, Peshawar",9b8769a4a742959a2d0298c36fb70623f2dfacda8436237df08d8dfd5b37374c,2026-03-29 18:35:01
60,352012351868,Tadeen Tahawwur,tadeen.tahawwur142@yahoo.com,03247426265,Ward-12,"House #33, Saddar, Peshawar",9b8769a4a742959a2d0298c36fb70623f2dfacda8436237df08d8dfd5b37374c,2026-02-09 02:50:56
61,352017838382,Arham Urrab,arham.urrab339@outlook.com,03362044645,Ward-4,"House #464, Charsadda Road, Peshawar",9b8769a4a742959a2d0298c36fb70623f2dfacda8436237df08d8dfd5b37374c,2026-04-15 20:00:52
62,352011327691,Ihsaan Ayamin,ihsaan.ayamin878@outlook.com,03401098919,Ward-6,"House #437, Warsak Road, Peshawar",9b8769a4a742959a2d0298c36fb70623f2dfacda8436237df08d8dfd5b37374c,2026-02-10 17:33:41
63,352014700025,Jahangir Souma,jahangir.souma500@yahoo.com,03278312114,Ward-8,"House #173, Peshawar, Peshawar",9b8769a4a742959a2d0298c36fb70623f2dfacda8436237df08d8dfd5b37374c,2026-02-05 00:30:16
64,352013768991,Kaamil Sair,kaamil.sair861@outlook.com,03189961107,Ward-1,"House #289, Charsadda Road, Nowshera",9b8769a4a742959a2d0298c36fb70623f2dfacda8436237df08d8dfd5b37374c,2025-09-11 12:36:33
65,352012408404,Wafi Babar,wafi.babar659@outlook.com,03188746014,Ward-3,"House #195, Peshawar, Peshawar",9b8769a4a742959a2d0298c36fb70623f2dfacda8436237df08d8dfd5b37374c,2026-01-06 03:08:52
66,352014551070,Nafees Daamin,nafees.daamin466@hotmail.com,03317360682,Ward-5,"House #428, Charsadda Road, Peshawar",9b8769a4a742959a2d0298c36fb70623f2dfacda8436237df08d8dfd5b37374c,2025-10-02 19:25:17
67,352018890439,Quddoos Bashaar,quddoos.bashaar20@gmail.com,03324761823,Ward-11,"House #387, Hayatabad, Peshawar",9b8769a4a742959a2d0298c36fb70623f2dfacda8436237df08d8dfd5b37374c,2025-09-13 01:13:13
68,352015148725,Tahoor Zackariya,tahoor.zackariya205@gmail.com,03493556551,Ward-4,"House #343, Saddar, Mardan",9b8769a4a742959a2d0298c36fb70623f2dfacda8436237df08d8dfd5b37374c,2025-10-15 10:11:12
69,352014656838,Sabir Qadeer,sabir.qadeer477@hotmail.com,03333815034,Ward-10,"House #399, Bara Road, Peshawar",9b8769a4a742959a2d0298c36fb70623f2dfacda8436237df08d8dfd5b37374c,2025-11-03 14:24:28
70,352016218367,Atfat Baaree,atfat.baaree111@gmail.com,03297296605,Ward-7,"House #304, University Town, Peshawar",9b8769a4a742959a2d0298c36fb70623f2dfacda8436237df08d8dfd5b37374c,2025-12-04 07:31:13
71,352012709620,Laith Daamin,laith.daamin714@hotmail.com,03483030966,Ward-13,"House #178, Bara Road, Peshawar",9b8769a4a742959a2d0298c36fb70623f2dfacda8436237df08d8dfd5b37374c,2026-03-26 21:32:44
72,352018186990,Nafees Badr Udeen,nafees.badr udeen678@hotmail.com,03149488613,Ward-11,"House #435, Kohat Road, Peshawar",9b8769a4a742959a2d0298c36fb70623f2dfacda8436237df08d8dfd5b37374c,2026-02-11 03:13:52
73,352019224219,Mabad Omeir,mabad.omeir109@outlook.com,03338713146,Ward-12,"House #91, Saddar, Peshawar",9b8769a4a742959a2d0298c36fb70623f2dfacda8436237df08d8dfd5b37374c,2026-03-22 15:01:55
74,352015531230,Ghazalan Waahid,ghazalan.waahid631@outlook.com,03398307727,Ward-14,"House #166, Bara Road, Peshawar",9b8769a4a742959a2d0298c36fb70623f2dfacda8436237df08d8dfd5b37374c,2025-12-05 08:10:50
75,352012453962,Basharat Nadeem,basharat.nadeem286@outlook.com,03258796514,Ward-10,"House #173, Bara Road, Peshawar",9b8769a4a742959a2d0298c36fb70623f2dfacda8436237df08d8dfd5b37374c,2025-09-12 03:30:12
76,352019293086,Maawiya Zahrun,maawiya.zahrun872@hotmail.com,03219179730,Ward-4,"House #175, Kohat Road, Peshawar",9b8769a4a742959a2d0298c36fb70623f2dfacda8436237df08d8dfd5b37374c,2025-12-18 14:36:21
77,352015635017,Ibrahim Kaleem,ibrahim.kaleem570@gmail.com,03434205394,Ward-2,"House #251, University Town, Peshawar",9b8769a4a742959a2d0298c36fb70623f2dfacda8436237df08d8dfd5b37374c,2026-04-04 14:37:02
78,352015031966,Babar Zaheer,babar.zaheer708@outlook.com,03418519121,Ward-13,"House #151, Peshawar, Peshawar",9b8769a4a742959a2d0298c36fb70623f2dfacda8436237df08d8dfd5b37374c,2025-11-26 01:25:41
79,352017784725,Ghunayn Wadood,ghunayn.wadood709@yahoo.com,03297191135,Ward-8,"House #177, Dalazak Road, Mardan",9b8769a4a742959a2d0298c36fb70623f2dfacda8436237df08d8dfd5b37374c,2026-02-13 05:58:58
80,352016549757,Baaqir Naeem,baaqir.naeem361@outlook.com,03276144280,Ward-5,"House #370, University Town, Peshawar",9b8769a4a742959a2d0298c36fb70623f2dfacda8436237df08d8dfd5b37374c,2025-11-14 19:00:56
